county;population;population_ACES
AGUEDA;47127;366086
ALBERGARIA-A-VELHA;24724;366086
ANADIA;28345;366086
AVEIRO;77229;366086
ESTARREJA;26555;366086
ILHAVO;38410;366086
MEALHADA;20255;352592
MURTOSA;10437;366086
OLIVEIRA DO BAIRRO;23443;366086
OVAR;54919;366086
SEVER DO VOUGA;12000;366086
VAGOS;22897;366086
CANTANHEDE;36234;352592
COIMBRA;136964;352592
CONDEIXA-A-NOVA;17371;352592
FIGUEIRA DA FOZ;61076;352592
MIRA;12260;352592
MONTEMOR-O-VELHO;25911;352592
PENACOVA;14678;352592
SOURE;18499;352592
BATALHA;15804;258692
LEIRIA;125977;258692
MARINHA GRANDE;38700;258692
POMBAL;54201;258692
PORTO DE MOS;24010;258692
ALVAIAZERE;7048;127731
ANSIAO;12773;127731
ARGANIL;11669;127731
CASTANHEIRA DE PERA;2939;127731
FIGUEIRO DOS VINHOS;5941;127731
GOIS;4079;127731
LOUSA;17331;127731
MIRANDA DO CORVO;12984;127731
OLIVEIRA DO HOSPITAL;20294;127731
PAMPILHOSA DA SERRA;4257;127731
PEDROGAO GRANDE;3686;127731
PENELA;5734;127731
TABUA;11855;127731
VILA NOVA DE POIARES;7141;127731
AGUIAR DA BEIRA;5224;262125
CARREGAL DO SAL;9656;262125
CASTRO DAIRE;14789;262125
MANGUALDE;19485;262125
MORTAGUA;9344;352592
NELAS;13670;262125
OLIVEIRA DE FRADES;10153;262125
PENALVA DO CASTELO;7679;262125
SANTA COMBA DAO;11166;262125
SAO PEDRO DO SUL;16336;262125
SATAO;12147;262125
TONDELA;28167;262125
VILA NOVA DE PAIVA;5007;262125
VISEU;98424;262125
VOUZELA;10222;262125
OLEIROS;5444;32305
PROENCA-A-NOVA;7989;32305
SERTA;15422;32305
VILA DE REI;3450;32305
FORNOS DE ALGODRES;4888;149109
GOUVEIA;13450;149109
SEIA;23795;149109
ALMEIDA;6628;149109
CELORICO DA BEIRA;7403;149109
FIGUEIRA DE CASTELO RODRIGO;6073;149109
GUARDA;40994;149109
MANTEIGAS;3297;149109
MEDA;4941;149109
PINHEL;9205;149109
SABUGAL;11914;149109
TRANCOSO;9537;149109
CASTELO BRANCO;54409;72223
IDANHA-A-NOVA;9108;72223
PENAMACOR;5324;72223
VILA VELHA DE RODAO;3382;72223
BELMONTE;6673;84622
COVILHA;49749;84622
FUNDAO;28200;84622
VILA NOVA DE FOZ COA;6 984;149109
