"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1349   ";"   N=51    ";"         "
"sex:";"            ";"            ";"           ";"  0.217  "
"    Male";"974 (69.6%) ";"943 (69.9%) ";"31 (60.8%) ";"         "
"    Female";"426 (30.4%) ";"406 (30.1%) ";"20 (39.2%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"48.7 (19.1) ";"52.5 (17.3)";"  0.141  "
"ACES:";"            ";"            ";"           ";"    .    "
"    Baixo Mondego";"209 (14.9%) ";"202 (15.0%) ";" 7 (13.7%) ";"         "
"    Baixo Vouga";"436 (31.1%) ";"424 (31.4%) ";"12 (23.5%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 66 (4.89%) ";" 2 (3.92%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 92 (6.82%) ";" 4 (7.84%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"178 (13.2%) ";"12 (23.5%) ";"         "
"    Guarda";"123 (8.79%) ";"120 (8.90%) ";" 3 (5.88%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 86 (6.38%) ";" 4 (7.84%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 28 (2.08%) ";" 1 (1.96%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"153 (11.3%) ";" 6 (11.8%) ";"         "
"commu_resid:";"            ";"            ";"           ";"  0.397  "
"    No";"1336 (96.3%)";"1298 (96.2%)";" 38 (100%) ";"         "
"    Yes";" 51 (3.68%) ";" 51 (3.78%) ";" 0 (0.00%) ";"         "
"Time between onset symptoms and first appointment (in days)";"47.8 (69.6) ";"47.5 (52.3) ";"53.2 (229) ";"  0.871  "
"Time between first appointment and diagnosis or begin of treatment (in days)";"30.9 (62.9) ";"25.8 (41.6) ";" 146 (202) ";" <0.001  "
"Time between onset symptoms and diagnosis or begin of treatment (in days)";"81.5 (89.2) ";"76.6 (70.8) ";" 198 (257) ";"  0.002  "
