"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1203   ";"   N=197   ";"         "
"sex:";"            ";"            ";"           ";"  0.110  "
"    Male";"974 (69.6%) ";"847 (70.4%) ";"127 (64.5%)";"         "
"    Female";"426 (30.4%) ";"356 (29.6%) ";"70 (35.5%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.9 (18.7) ";"54.9 (20.2)";" <0.001  "
"ACES:";"            ";"            ";"           ";"    .    "
"    Baixo Mondego";"209 (14.9%) ";"146 (12.1%) ";"63 (32.0%) ";"         "
"    Baixo Vouga";"436 (31.1%) ";"412 (34.2%) ";"24 (12.2%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 64 (5.32%) ";" 4 (2.03%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 82 (6.82%) ";"14 (7.11%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"178 (14.8%) ";"12 (6.09%) ";"         "
"    Guarda";"123 (8.79%) ";"108 (8.98%) ";"15 (7.61%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 67 (5.57%) ";"23 (11.7%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 25 (2.08%) ";" 4 (2.03%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"121 (10.1%) ";"38 (19.3%) ";"         "
"HIV:";"            ";"            ";"           ";"  1.000  "
"    No";"1173 (94.9%)";"1141 (94.8%)";"32 (97.0%) ";"         "
"    Yes";" 63 (5.10%) ";" 62 (5.15%) ";" 1 (3.03%) ";"         "
"Time between onset symptoms and first appointment (in days)";"47.8 (69.6) ";"47.2 (51.3) ";"52.7 (151) ";"  0.700  "
"Time between first appointment and diagnosis or begin of treatment (in days)";"30.9 (62.9) ";"26.1 (42.1) ";"69.6 (142) ";"  0.001  "
"Time between onset symptoms and diagnosis or begin of treatment (in days)";"81.5 (89.2) ";"76.1 (69.9) ";" 117 (163) ";"  0.003  "
