"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1347   ";"   N=53    ";"         "
"sex:";"            ";"            ";"           ";"  0.305  "
"    Male";"974 (69.6%) ";"941 (69.9%) ";"33 (62.3%) ";"         "
"    Female";"426 (30.4%) ";"406 (30.1%) ";"20 (37.7%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"48.8 (19.1) ";"51.8 (17.5)";"  0.228  "
"ACES:";"            ";"            ";"           ";"    .    "
"    Baixo Mondego";"209 (14.9%) ";"202 (15.0%) ";" 7 (13.2%) ";"         "
"    Baixo Vouga";"436 (31.1%) ";"424 (31.5%) ";"12 (22.6%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 66 (4.90%) ";" 2 (3.77%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 92 (6.83%) ";" 4 (7.55%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"177 (13.1%) ";"13 (24.5%) ";"         "
"    Guarda";"123 (8.79%) ";"120 (8.91%) ";" 3 (5.66%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 85 (6.31%) ";" 5 (9.43%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 28 (2.08%) ";" 1 (1.89%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"153 (11.4%) ";" 6 (11.3%) ";"         "
"homeless:";"            ";"            ";"           ";"  0.361  "
"    No";"1369 (98.8%)";"1332 (98.9%)";"37 (97.4%) ";"         "
"    Yes";" 16 (1.16%) ";" 15 (1.11%) ";" 1 (2.63%) ";"         "
"Time between onset symptoms and first appointment (in days)";"47.8 (69.6) ";"47.6 (52.3) ";"52.3 (227) ";"  0.889  "
"Time between first appointment and diagnosis or begin of treatment (in days)";"30.9 (62.9) ";"25.8 (41.6) ";" 141 (199) ";" <0.001  "
"Time between onset symptoms and diagnosis or begin of treatment (in days)";"81.5 (89.2) ";"76.7 (70.8) ";" 194 (255) ";"  0.003  "
