"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1349   ";"   N=51    ";"         "
"sex:";"            ";"            ";"           ";"  0.122  "
"    Male";"974 (69.6%) ";"944 (70.0%) ";"30 (58.8%) ";"         "
"    Female";"426 (30.4%) ";"405 (30.0%) ";"21 (41.2%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"48.8 (19.1) ";"51.5 (19.3)";"  0.318  "
"ACES:";"            ";"            ";"           ";"    .    "
"    Baixo Mondego";"209 (14.9%) ";"204 (15.1%) ";" 5 (9.80%) ";"         "
"    Baixo Vouga";"436 (31.1%) ";"428 (31.7%) ";" 8 (15.7%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 66 (4.89%) ";" 2 (3.92%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 87 (6.45%) ";" 9 (17.6%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"181 (13.4%) ";" 9 (17.6%) ";"         "
"    Guarda";"123 (8.79%) ";"117 (8.67%) ";" 6 (11.8%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 87 (6.45%) ";" 3 (5.88%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 28 (2.08%) ";" 1 (1.96%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"151 (11.2%) ";" 8 (15.7%) ";"         "
"inflam:";"            ";"            ";"           ";"  1.000  "
"    No";"1373 (99.0%)";"1335 (99.0%)";" 38 (100%) ";"         "
"    Yes";" 14 (1.01%) ";" 14 (1.04%) ";" 0 (0.00%) ";"         "
"Time between onset symptoms and first appointment (in days)";"47.8 (69.6) ";"47.3 (52.0) ";"59.4 (245) ";"  0.760  "
"Time between first appointment and diagnosis or begin of treatment (in days)";"30.9 (62.9) ";"25.7 (41.6) ";" 149 (203) ";" <0.001  "
"Time between onset symptoms and diagnosis or begin of treatment (in days)";"81.5 (89.2) ";"76.3 (70.7) ";" 218 (262) ";"  0.001  "
