"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1348   ";"   N=52    ";"         "
"sex:";"            ";"            ";"           ";"  0.259  "
"    Male";"974 (69.6%) ";"942 (69.9%) ";"32 (61.5%) ";"         "
"    Female";"426 (30.4%) ";"406 (30.1%) ";"20 (38.5%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"48.7 (19.2) ";"52.8 (17.0)";"  0.098  "
"ACES:";"            ";"            ";"           ";"    .    "
"    Baixo Mondego";"209 (14.9%) ";"203 (15.1%) ";" 6 (11.5%) ";"         "
"    Baixo Vouga";"436 (31.1%) ";"425 (31.5%) ";"11 (21.2%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 66 (4.90%) ";" 2 (3.85%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 92 (6.82%) ";" 4 (7.69%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"175 (13.0%) ";"15 (28.8%) ";"         "
"    Guarda";"123 (8.79%) ";"120 (8.90%) ";" 3 (5.77%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 86 (6.38%) ";" 4 (7.69%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 28 (2.08%) ";" 1 (1.92%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"153 (11.4%) ";" 6 (11.5%) ";"         "
"inmate:";"            ";"            ";"           ";"  0.475  "
"    No";"1363 (98.3%)";"1326 (98.4%)";"37 (97.4%) ";"         "
"    Yes";" 23 (1.66%) ";" 22 (1.63%) ";" 1 (2.63%) ";"         "
"Time between onset symptoms and first appointment (in days)";"47.8 (69.6) ";"47.5 (52.2) ";"54.6 (227) ";"  0.834  "
"Time between first appointment and diagnosis or begin of treatment (in days)";"30.9 (62.9) ";"25.8 (41.6) ";" 140 (200) ";" <0.001  "
"Time between onset symptoms and diagnosis or begin of treatment (in days)";"81.5 (89.2) ";"76.6 (70.8) ";" 197 (254) ";"  0.002  "
