"";"   [ALL]    ";"     1      ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=1083   ";"   N=317   ";"         "
"country_inc:";"            ";"            ";"           ";"  0.401  "
"    1";"1292 (92.3%)";"1002 (92.5%)";"290 (91.5%)";"         "
"    2";" 92 (6.57%) ";" 67 (6.19%) ";"25 (7.89%) ";"         "
"    3";" 16 (1.14%) ";" 14 (1.29%) ";" 2 (0.63%) ";"         "
"sex:";"            ";"            ";"           ";"  1.000  "
"    Male";"974 (69.6%) ";"753 (69.5%) ";"221 (69.7%)";"         "
"    Female";"426 (30.4%) ";"330 (30.5%) ";"96 (30.3%) ";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.5 (18.8) ";"53.5 (19.5)";" <0.001  "
"ACES:";"            ";"            ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";" 84 (7.76%) ";"125 (39.4%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"411 (38.0%) ";"25 (7.89%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";" 62 (5.72%) ";" 6 (1.89%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";" 85 (7.85%) ";"11 (3.47%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"161 (14.9%) ";"29 (9.15%) ";"         "
"    Guarda";"123 (8.79%) ";"109 (10.1%) ";"14 (4.42%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";" 28 (2.59%) ";"62 (19.6%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";" 22 (2.03%) ";" 7 (2.21%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"121 (11.2%) ";"38 (12.0%) ";"         "
"unemployment:";"            ";"            ";"           ";" <0.001  "
"    No";"1260 (90.0%)";"953 (88.0%) ";"307 (96.8%)";"         "
"    Yes";"140 (10.0%) ";"130 (12.0%) ";"10 (3.15%) ";"         "
"health_job:";"            ";"            ";"           ";"  0.001  "
"    No";"1266 (90.4%)";"963 (88.9%) ";"303 (95.6%)";"         "
"    Yes";"134 (9.57%) ";"120 (11.1%) ";"14 (4.42%) ";"         "
"dialysis:";"            ";"            ";"           ";"  0.534  "
"    No";"1386 (99.0%)";"1073 (99.1%)";"313 (98.7%)";"         "
"    Yes";" 14 (1.00%) ";" 10 (0.92%) ";" 4 (1.26%) ";"         "
"cancer:";"            ";"            ";"           ";" <0.001  "
"    No";"1337 (95.5%)";"1047 (96.7%)";"290 (91.5%)";"         "
"    Yes";" 63 (4.50%) ";" 36 (3.32%) ";"27 (8.52%) ";"         "
"respi:";"            ";"            ";"           ";"  0.712  "
"    No";"1335 (95.4%)";"1031 (95.2%)";"304 (95.9%)";"         "
"    Yes";" 65 (4.64%) ";" 52 (4.80%) ";"13 (4.10%) ";"         "
"diabetes:";"            ";"            ";"           ";"  0.672  "
"    No";"1302 (93.0%)";"1005 (92.8%)";"297 (93.7%)";"         "
"    Yes";" 98 (7.00%) ";" 78 (7.20%) ";"20 (6.31%) ";"         "
"centro_saude";"1.50 (1.33) ";"1.34 (1.04) ";"2.03 (1.94)";" <0.001  "
"rurality:";"            ";"            ";"           ";" <0.001  "
"    Rural";"317 (22.6%) ";"220 (20.3%) ";"97 (30.6%) ";"         "
"    Urban";"1083 (77.4%)";"863 (79.7%) ";"220 (69.4%)";"         "
"Beneficiaries of the social inclusion income/social security per 1000 working-age individuals - by county and year 2011 to 2017 (INE)";"30.8 (11.0) ";"31.2 (11.1) ";"29.6 (10.6)";"  0.020  "
"Proportion of the population with the 3º cicle of complete escolarity - by county and sex (Census2011)";"46.5 (9.05) ";"46.4 (8.73) ";"46.6 (10.1)";"  0.754  "
"Proportion of overcrowded accommodation - by county (Census2011)";"7.27 (1.86) ";"7.51 (1.94) ";"6.43 (1.26)";" <0.001  "
"Doctors in health centres per 10000 individuals - by county and year 2011 and 2012 (INE)";"7.54 (1.54) ";"7.34 (1.36) ";"8.23 (1.90)";" <0.001  "
