"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=906   ";"   N=494   ";"         "
"sex:";"            ";"           ";"           ";"  0.030  "
"    Male";"974 (69.6%) ";"612 (67.5%)";"362 (73.3%)";"         "
"    Female";"426 (30.4%) ";"294 (32.5%)";"132 (26.7%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.3 (19.0)";"51.8 (18.9)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"70 (7.73%) ";"139 (28.1%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"364 (40.2%)";"72 (14.6%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"60 (6.62%) ";" 8 (1.62%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"68 (7.51%) ";"28 (5.67%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"90 (9.93%) ";"100 (20.2%)";"         "
"    Guarda";"123 (8.79%) ";"103 (11.4%)";"20 (4.05%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"25 (2.76%) ";"65 (13.2%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"16 (1.77%) ";"13 (2.63%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"110 (12.1%)";"49 (9.92%) ";"         "
"alcohol:";"            ";"           ";"           ";"  0.010  "
"    No";"1140 (87.9%)";"782 (86.3%)";"358 (91.6%)";"         "
"    Yes";"157 (12.1%) ";"124 (13.7%)";"33 (8.44%) ";"         "
