"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=971   ";"   N=429   ";"         "
"sex:";"            ";"           ";"           ";"  0.311  "
"    Male";"974 (69.6%) ";"667 (68.7%)";"307 (71.6%)";"         "
"    Female";"426 (30.4%) ";"304 (31.3%)";"122 (28.4%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.4 (18.9)";"52.1 (19.3)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"72 (7.42%) ";"137 (31.9%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"371 (38.2%)";"65 (15.2%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"60 (6.18%) ";" 8 (1.86%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"68 (7.00%) ";"28 (6.53%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"143 (14.7%)";"47 (11.0%) ";"         "
"    Guarda";"123 (8.79%) ";"105 (10.8%)";"18 (4.20%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"25 (2.57%) ";"65 (15.2%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"16 (1.65%) ";"13 (3.03%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"111 (11.4%)";"48 (11.2%) ";"         "
"commu_resid:";"            ";"           ";"           ";"  0.025  "
"    No";"1336 (96.3%)";"943 (97.1%)";"393 (94.5%)";"         "
"    Yes";" 51 (3.68%) ";"28 (2.88%) ";"23 (5.53%) ";"         "
