"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=930   ";"   N=470   ";"         "
"sex:";"            ";"           ";"           ";"  0.157  "
"    Male";"974 (69.6%) ";"635 (68.3%)";"339 (72.1%)";"         "
"    Female";"426 (30.4%) ";"295 (31.7%)";"131 (27.9%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.5 (18.9)";"51.5 (19.2)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"72 (7.74%) ";"137 (29.1%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"361 (38.8%)";"75 (16.0%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"60 (6.45%) ";" 8 (1.70%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"68 (7.31%) ";"28 (5.96%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"115 (12.4%)";"75 (16.0%) ";"         "
"    Guarda";"123 (8.79%) ";"103 (11.1%)";"20 (4.26%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"25 (2.69%) ";"65 (13.8%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"16 (1.72%) ";"13 (2.77%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"110 (11.8%)";"49 (10.4%) ";"         "
"drugs:";"            ";"           ";"           ";"  0.476  "
"    No";"1242 (93.0%)";"861 (92.6%)";"381 (93.8%)";"         "
"    Yes";" 94 (7.04%) ";"69 (7.42%) ";"25 (6.16%) ";"         "
