"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=903   ";"   N=497   ";"         "
"sex:";"            ";"           ";"           ";"  0.929  "
"    Male";"974 (69.6%) ";"627 (69.4%)";"347 (69.8%)";"         "
"    Female";"426 (30.4%) ";"276 (30.6%)";"150 (30.2%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.0 (18.6)";"52.3 (19.6)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"55 (6.09%) ";"154 (31.0%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"366 (40.5%)";"70 (14.1%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"58 (6.42%) ";"10 (2.01%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"61 (6.76%) ";"35 (7.04%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"144 (15.9%)";"46 (9.26%) ";"         "
"    Guarda";"123 (8.79%) ";"98 (10.9%) ";"25 (5.03%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"20 (2.21%) ";"70 (14.1%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"14 (1.55%) ";"15 (3.02%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"87 (9.63%) ";"72 (14.5%) ";"         "
"HIV:";"            ";"           ";"           ";"  0.002  "
"    No";"1173 (94.9%)";"868 (96.1%)";"305 (91.6%)";"         "
"    Yes";" 63 (5.10%) ";"35 (3.88%) ";"28 (8.41%) ";"         "
