"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=970   ";"   N=430   ";"         "
"sex:";"            ";"           ";"           ";"  0.293  "
"    Male";"974 (69.6%) ";"666 (68.7%)";"308 (71.6%)";"         "
"    Female";"426 (30.4%) ";"304 (31.3%)";"122 (28.4%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.4 (18.9)";"52.1 (19.2)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"72 (7.42%) ";"137 (31.9%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"371 (38.2%)";"65 (15.1%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"60 (6.19%) ";" 8 (1.86%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"68 (7.01%) ";"28 (6.51%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"142 (14.6%)";"48 (11.2%) ";"         "
"    Guarda";"123 (8.79%) ";"105 (10.8%)";"18 (4.19%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"25 (2.58%) ";"65 (15.1%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"16 (1.65%) ";"13 (3.02%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"111 (11.4%)";"48 (11.2%) ";"         "
"homeless:";"            ";"           ";"           ";"  0.272  "
"    No";"1369 (98.8%)";"961 (99.1%)";"408 (98.3%)";"         "
"    Yes";" 16 (1.16%) ";" 9 (0.93%) ";" 7 (1.69%) ";"         "
