"";"   [ALL]    ";"     1     ";"     2     ";"p.overall"
"";"   N=1400   ";"   N=970   ";"   N=430   ";"         "
"sex:";"            ";"           ";"           ";"  0.293  "
"    Male";"974 (69.6%) ";"666 (68.7%)";"308 (71.6%)";"         "
"    Female";"426 (30.4%) ";"304 (31.3%)";"122 (28.4%)";"         "
"Age at diagnosis (in years)";"48.9 (19.1) ";"47.4 (18.9)";"52.1 (19.2)";" <0.001  "
"ACES:";"            ";"           ";"           ";" <0.001  "
"    Baixo Mondego";"209 (14.9%) ";"72 (7.42%) ";"137 (31.9%)";"         "
"    Baixo Vouga";"436 (31.1%) ";"372 (38.4%)";"64 (14.9%) ";"         "
"    Beira Interior Sul";" 68 (4.86%) ";"60 (6.19%) ";" 8 (1.86%) ";"         "
"    Cova da Beira";" 96 (6.86%) ";"68 (7.01%) ";"28 (6.51%) ";"         "
"    Dão Lafões";"190 (13.6%) ";"141 (14.5%)";"49 (11.4%) ";"         "
"    Guarda";"123 (8.79%) ";"105 (10.8%)";"18 (4.19%) ";"         "
"    Pinhal Interior Norte";" 90 (6.43%) ";"25 (2.58%) ";"65 (15.1%) ";"         "
"    Pinhal Interior Sul";" 29 (2.07%) ";"16 (1.65%) ";"13 (3.02%) ";"         "
"    Pinhal Litoral";"159 (11.4%) ";"111 (11.4%)";"48 (11.2%) ";"         "
"inmate:";"            ";"           ";"           ";"  0.035  "
"    No";"1363 (98.3%)";"959 (98.9%)";"404 (97.1%)";"         "
"    Yes";" 23 (1.66%) ";"11 (1.13%) ";"12 (2.88%) ";"         "
